"제조국","브랜드","이름","최소가격","최대가격","차종","엔진","최소연비","최대연비","최소출력","최대출력","출시년도","차량번호","내용","상세사진","색상1","색상2","색상3","색상4","색상5","색상6","색상7","색상8","색상9","색상10","색상1코드","색상2코드","색상3코드","색상4코드","색상5코드","색상6코드","색상7코드","색상8코드","색상9코드","색상10코드"
"유럽","마세라티","Quattroporte",17810,31200,"대형","가솔린","6","7.4","350","580",2023,1513,"1963년부터 이어져온 레이싱 혈통의 럭셔리 세단  끊임없이 영감을 불러일으키는 마세라티의 전설   인상적이면서 유려한 바디라인, 풍부한 볼륨감, 지나친 장식 없이도 눈길을 끄는 디자인   과거 모델들을 연상시키는 헤리티지의 정수를 품은 최신형 콰트로포르테는 진정한 아름다움이 영원하다는 것을 증명합니다 ",1843,"Grigio ","Grigio Maratea ","Nero ","Nero Ribelle ","Rosso Folgore ","ROSSO Potente ","Bianco ","Bianco Alpi ","Blu Nobile ","Blu Emozione ","#898384","#4e4c4f","#010102","#292929","#2a2024","#a81710","#e6e5e1","#dddcd7","#021850","#021850"
"유럽","마세라티","Levante",12400,24500,"대형 SUV","가솔린, 하이브리드","5.8","7.9","330","580",2023,1517,"르반떼의 디자인에는 눈길을 사로잡는 균형 잡힌 우아함과 완벽한 공기 역학이 어우러져 있습니다   르반떼의 유니크한 개성은 새로운 지평을 열기 위하여 설계된 것이지만, 각각의 디자인 요소가 끊임없이 그 기원을 연상케 합니다   모든 디테일은 숙련된 장인 정신의 표현으로서 장거리 및 단거리 여정의 럭셔리와 편안함을 동시에 보장합니다 ",1848,"Grigio ","Grigio Maratea ","Grigio Evoluzione ","Nero ","Nero Ribelle ","Rame ","ROSSO Potente ","Bianco ","Bianco Alpi ","Blu Nobile ","#898384","#4e4c4f","#616564","#010102","#292929","#433837","#a81710","#e6e5e1","#dddcd7","#021850"
"유럽","롤스로이스","Phantom",63000,75000,"대형","가솔린","5.8","5.8","563","563",2023,1544,"과감하고 오리지널한 모습의 PHANTOM SERIES I   절묘한 특징들은 세심한 기술과 엔지니어링으로 뒷받침되어,  경외감과 집중을 부르는 당당한 존재감을 만들어 냅니다 ",1872,"Royal Blue ","Iguazu Blue ","Salamanca Blue ","Black ","Infnity Black ","Sapphire Black ","Black Kirsch ","Black Diamond ","Premiere Metallic ","Andalusian White ","#293664","#100a09","#2b3665","#0f1011","#101112","#02192c","#10060e","#212223","#afb1ad","#e7e7e7"
"유럽","롤스로이스","Wraith",40000,40000,"대형","가솔린","6","6","632","632",2021,1546,"Wraith는 근육질 엔진의 힘으로 목적을 따라 강인하게 가속합니다   하이퍼다이나믹 실루엣과 디자인 큐에서 뛰어난 장인정신과 취향을 엿볼 수 있습니다   탐험의 문을 여세요  Wraith가 길을 밝힙니다 ",1873,"Arabian Blue ","Blue Velvet ","Duck Egg Blue ","Adriatic Blue ","Royal Blue ","Iguazu Blue ","Salamanca Blue ","Blue Ice ","Obsidian ","Melanite ","#1b3c7c","#181831","#6c807b","#06373c","#293664","#100a09","#2b3665","#a1b0ba","#2c2624","#1e1a18"
"일본","토요타","Prius Prime",4934,4934,"준중형","가솔린, 전기, 하이브리드","21.4","21.4","98","98",2022,1550,"NEW RANGE, NEW LIFE 더 진보적이고 친환경적인 플러그인 하이브리드   프리우스 프라임과 함께 지금까지 없었던 새로운 삶의 즐거움을 경험하세요   주중에는 전기 에너지만으로 도심 주행, 주말에는 전기 모터와 가솔린 엔진을 사용하여 장거리 여행이 가능합니다 ",1879,"Emotional Red ","Gray Metallic ","Silver Metallic ","Attitude Black Mica ","Platinum White Pearl Mica ","Steel Blonde Metallic ","Spirited Aqua Metallic ",NULL,NULL,NULL,"#df1319","#686868","#bac2c6","#0c0c0c","#ffffff","#beb8b8","#498c98",NULL,NULL,NULL
"일본","렉서스","NX",5830,6770,"소형 SUV","가솔린, 하이브리드","9.3","12","152","238",2021,1563,"토요타의 고급차 브랜드인 렉서스에서  2014년부터 생산하는 중형SUV이다    모델명은 날렵한, 민첩한 이라는 뜻의 Nimble에서 따왔다 ",1893,"Sonic Quartz ","Sonic Titanium ","Sparkling Meteor Metallic ","Platinum Silver Metallic ","Mercury Gray Mica ","Graphite Black Glass Flake ","Black ","Red Mica Crystal Shine ",NULL,NULL,"#eeeeee","#c4c1bc","#1c4e97","#afb0b4","#696a6c","#252525","#171717","#87011a",NULL,NULL
"유럽","랜드로버","New Range Rover Sport",13117,18007,"중형 SUV","가솔린, 디젤","10.5","10.5","300","300",2020,1619,"역사상 가장 다이내믹한 SUV   타구언한 퍼포먼스와 오프로드 주행 능력  당당한 자세와 완벽한 비율   새로운 패러다임을 열어 대담한 혁신과 첨단 기술을 담은 자동차",1825,"Byron Blue ","Portofino Blue ","Santorini Black ","Hakuba Silver ","Silicon Silver ","Yulong White ","Fuji White ","Lantau Bronze ","Eiger Grey ","Carpathian Grey ","#7c849b","#12233f","#0f090b","#b1bbc4","#605a54","#d1d2d7","#e3e6e4","#a6a6a6","#64686c","#3e3e42"
"유럽","랜드로버","New Range Rover",17197,20657,"대형 SUV","가솔린, 디젤","9.5","9.5","350","350",2022,1621,"타의 추종을 불허하는 탁월한 승차감과 기술 기반의 정교함을 통해 만들어진 진정한 퍼스트 클래스 주행  편안한 승차감, 고급스러운 디자인, 꼼꼼하고 정교한 디테일이 돋보이는 인테리어",1826,"Portofino Blue ","Santorini Black ","Silicon Silver ","Yulong White ","Fuji White ","Lantau Bronze ","Eiger Grey ","Carpathian Grey ","Aruba ","Rosello Red ","#12233f","#0f090b","#605a54","#d1d2d7","#e3e6e4","#a6a6a6","#64686c","#3e3e42","#b7b3ad","#2e0509"
"미국","포드","New Mustang",5155,7335,"스포츠카","가솔린","7.5","9.4","291","446",2023,1626,"열린 도로  닫힌 트랙  이 전설적인 스포츠카의 아이콘은 모두를 삼켜 버립니다   어메리컨 머슬카를 대표하는 머스탱은 장애물이 있는 도로나 깊은 코너링에서도 최적의 성능을 발휘합니다   이는 56년의 역사를 지닌 머스탱이기에 가능한 일입니다 ",1916,"Shadow Black ","Velocity Blue ","Antimatter Blue Metallic ","Iconic Silver ","Race Red ","Rapid Red Metallic Tinted ","Twister Orange ","Grabber Yellow ","Carbonized Gray ","Oxford White ","#0b0b0b","#00518a","#001c33","#747474","#b4232a","#891416","#e86b24","#ebdb2e","#434445","#cacaca"
"유럽","페라리","Portofino",28000,28000,"스포츠카","가솔린","8.1","8.1","600","600",2018,1628,"이탈리아 북서부의 항구도시 지명에서 가져온 이름   역동성, 승차감을 겸비한 자유로운 명품   지중해의 바람과 함께하는 드라이브 ",1833,"Verde British ","Giallo Mondena ","Canna Di Fucile ","Rosso Corsa ","Rosso Scuderia ","Rosso Portofino ","Rosso Mugello ","Rosso Dino ","Nero Ds 1250 ","Nero Daytona ","#171c15","#d3a617","#33322e","#821b1c","#a41b0b","#ae1726","#4c0910","#d7553b","#050304","#333230"
"유럽","재규어","I-Pace",11690,12850,"중형 SUV","전기","3.5","3.5","394","394",2023,1644,"새로운 세대의 배터리 전기차 디자인을 대표하는 고유의 DNA   고급스러운 디테일과 영국 장인 정신을 통합하여 혁신적이고 드라마틱한 미래를 담은 자동차 ",1820,"Borasco Grey ","Corris Grey ","Farallon Black ","Narvik Black ","Santorini Black ","Silicon Silver ","Indus Silver ","Photon Red ","Firenze Red ","Caesium Blue ","#c5c4c2","#606060","#11131f","#050404","#181815","#a9a499","#d0d0d0","#c81b12","#a60d23","#1b3e91"
"유럽","볼보","V90 Cross Country",7100,8070,"대형","가솔린, 하이브리드","11","11","250","250",2024,1649,"새로워진 스칸디나비아 아이코닉 왜건  어떤 모험에도 어울리는 디자인, 안전한 공간, 개선된 주행 경험, 다목적성 기능  미래를 생각하는 드라이빙과 일상의 실용성을 겸비한 왜건 ",1811,"Onyx Black(717) ","Vapour Grey ","Platinum Grey(731) ","Crystal White(707) ","Silver Dawn(735) ","Denim Blue(723) ",NULL,NULL,NULL,NULL,"#18171a","#9b9c9f","#4c4743","#ebebeb","#a9a9ab","#5d6673",NULL,NULL,NULL,NULL
"유럽","볼보","XC60",6014,8213,"중형 SUV","가솔린, 하이브리드, 전기","9.8","9.8","250","250",2020,1650,"OWN THE ROAD  SHARE THE PLANET   지구를 생각하는 마음으로 디자인하고 역동적 주행을 위해 설계한 중형 SUV   운전자를 위한 드라이빙 환경  더욱 안전한 운전 ",1812,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","BMW","X3",8510,8510,"중형 SUV","디젤","9.5","13.6","184","292",2021,1654,"역동적인 디자인이 매력적인 드라이빙의 세계로 여러분을 이끕니다   xDrive로 도시와 오프로드를 넘나들며 차별화된 승차감  동급 세그먼트의 기준을 재정의하고 당신의 주행에 커다란 변화를 가져다 줄 것입니다 ",1787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"한국","현대","넥쏘",7320,7320,"소형 SUV","수소","93.7","96.2","154","154",2024,1657,"눈앞의 미래, NEXO  수소와 산소의 결합으로 어떠한 오염물질 없이 오직 에너지와 물만을 발생시키고 달리면서 PM2 5 이하의 초미세먼지까지 걸러내는 궁극의 친환경차   단 5분 충전으로 세계 최고수준의 항속거리 609km를 주행하며 넓고 효율적인 러기지 공간까지 갖췄습니다   좌우를 연결하는 호라이즌 포지셔닝 램프와 공기역학을 고려해 설계된 오토플러시 도어 핸들이 미래지향적인 이미지를 완성해줍니다 ",1679,"오션 인디고 펄(PS8) ","카퍼 메탈릭(R3C) ","쉬머링 실버 메탈릭(R2T) ","아마존 그레이 메탈릭(A5G) ","크리미 화이트 펄(TW3) ","티타늄 그레이 매트(Y3G) ",NULL,NULL,NULL,NULL,"#18202b","#908279","#a8abae","#464c45","#dddddd","#636268",NULL,NULL,NULL,NULL
"유럽","볼보","The New XC40",4609,5063,"소형 SUV","가솔린, 하이브리드","10.5","10.6","197","197",2024,1947,"최초의 컴팩트 SUV  '2018 유럽 올해의 차'에 선정되며 우수한 상품성 입증   필요한 것에만 집중하는 미니멀 라이프스타일 추구하는 SUV  색다른 소재와 창의적인 공간 확보로 볼보만의 프리미엄 개성 추구하는 자동차 ",1948,"Onyx Black(717) ","Black Stone(019) ","Osmium Grey Metallic(714) ","Ice White(614) ","Crystal White(707) ","Bright Silver Metallic(711) ","Amzon Blue(621) ","Fusion Red(725) ",NULL,NULL,"#18171a","#0f0f0f","#6b6c70","#ffffff","#ebebeb","#d5d4da","#adc7c0","#862430",NULL,NULL
"유럽","롤스로이스","Cullinan",46900,63700,"대형 SUV","가솔린","5.4","5.6","600","600",2024,1957,"소중한 사람들과 잊을 수 없는 모험을 공유하세요   스코틀랜드의 고원에서 아라비아의 사막까지, 오스트리아의 산맥부터 미국의 장엄한 지형까지,  Cullinan은 내셔널 지오그래픽과 협력해 3개 대륙과 12,000마일에 달하는 세상에서 가장 거친 지형을 정복해 뛰어난 성능을 입증했습니다 ",1958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"미국","지프","All New Wrangler",6990,10130,"중형 SUV","가솔린, 하이브리드","7.4","9.2","272","272",2023,2061,"신형 랭글러 정통성 유지하면서 오프로드 성능 극대화  락-트랙(Rock-Trac) HD 풀타임 4x4 시스템을 향상  셀렉-트랙(Selec-Trac) 풀타임 4x4 시스템을 새롭게 적용  새로운 2 0리터 터보차저 직렬 4기통 가솔린 엔진과 8단 자동 변속기를 탑재하고 최고 272마력을 발휘",1974,"Black ","Reign ","Firecracker Red ","Punk`n Metallic ","Bikini ","Ocean Blue Metallic ","Hydro Blue Pearl ","Earl ","Sarge Green ","Mojito ","#0a0e12","#6438bc","#c51927","#a92c00","#006c79","#011d58","#006eac","#98b0ba","#41452c","#68b718"
"유럽","시트로엥","New C4 Cactus",3280,3280,"소형 SUV","디젤","15.5","15.5","120","120",2021,2100,"시트로엥은 새로운  SUV인 NEW C4 CACTUS를 공개했습니다   새롭게 공개된 NEW C4 CACTUS SUV 는 프로그레시브 하이드롤릭 쿠션™ 이 적용 된 서스펜션과 어드밴스드 컴포트 시트가 장착되어 더욱 편안하고 안락한 승차감을 제공 합니다   최신 BlueHDi 디젤 엔진은 NOx 배출 및 연료 소비 감소에 대한 Euro 6 표준을 준수합니다 ",2101,"Emerald Blue ","Platinium Grey ","Cumulus Grey ","Polar White ","Obsidian Black ",NULL,NULL,NULL,NULL,NULL,"#29505c","#6f6d6e","#82858b","#ececea","#1f1f1f",NULL,NULL,NULL,NULL,NULL
"유럽","벤츠","The New CLS-Class",12680,12760,"준대형","가솔린","9.1","13","245","435",2021,2116,"Design to Seduce, 처음 본 순간부터 모든 것이 바뀌는 매력   한순간도 눈을 뗄 수 없는 감각적이고 간결한 디자인  부드러우면서도 파워풀한 직렬 6기통 엔진의 뿌리칠 수 없는 유혹  가속페달을 밟을때마다 밀려오는 감각적 경험 ",2117,"Graphite Grey(831U) ","Selenite Grey Metallic(992U) ","Selenite Grey(297) ","High-tech Silver(922U) ","Mojave Silver(859) ","Hyacinth Red(996) ","Black(040U) ","Obsidian Black(197U) ","Cavansite Blue(890) ","Polar White(149U) ","#5b5c61","#6a6d6f","#6b6e71","#bfbfc4","#b2b1b5","#a92e30","#0f0f0f","#424242","#2c2e42","#fafafa"
"유럽","벤츠","New C-Class",6450,10090,"중형","가솔린","8","14.4","194","510",2023,2186,"우아하게 바람을 가르는 공기역학성, 스스로 알아서 작동하는 전자동 에어 서스펜션, 강력하고 효율적인 엔진의 주행능력, 그리고 격이 다른 새로운 드라이빙을 경험하게 해주는 최적의 기술들까지  격이 다른 진정한 세련된 아름다움 ",2189,"Graphite Grey(831U) ","Selenite Grey Metallic(992U) ","Iridium Silver(775) ","High-tech Silver(922U) ","Mojave Silver(859) ","Manufaktur Hyacinth Red Metallic(996U) ","Black(040U) ","Obsidian Black(197U) ","Cavansite Blue(890) ","Brilliant Blue(896) ","#5b5c61","#6a6d6f","#b2b1b5","#bfbfc4","#b2b1b5","#a0130d","#0f0f0f","#424242","#2c2e42","#090b75"
"유럽","BMW","The All New X5",11250,13250,"대형 SUV","가솔린, 디젤, 전기, 하이브리드","8","11.4","265","400",2023,2194,"강력하고 우아한 카리스마에 모든 이들의 이목이 집중됩니다  디자인의 완성  최상의 다이내믹과 효율성을 제공하여 진정한 드라이빙의 즐거움  X5",2195,"Phytonic Blue(C1M) ","Carbon Black(416) ","Black Sapphire metallic(475) ","Mineral White metallic(A96) ","Arctic Grey Brilliant Effect(C27) ","Sophisto Grey Brilliant Effect(A90) ",NULL,NULL,NULL,NULL,"#235780","#05080e","#030406","#d5d6d0","#334048","#202123",NULL,NULL,NULL,NULL
"유럽","BMW","X2",5570,6010,"소형 SUV","가솔린","9.8","13.6","150","231",2023,2197,"동일 세그먼트 차량 중에서도 역동적이고 민첩한 드라이빙, 모든 이의 기대를 뛰어넘는 과감한 스포티함  최고급 인테리어와 다양한 혁신 기술이 결합된 새 시대를 정의할 자동차 ",2198,"Black Sapphire metallic(475) ","Alpine White(300) ","Skyscraper Grey metallic(C4W) ","Brooklyn Grey(C4P) ",NULL,NULL,NULL,NULL,NULL,NULL,"#030406","#d7d8d2","#646a6a","#9da3a3",NULL,NULL,NULL,NULL,NULL,NULL
"유럽","폭스바겐","Arteon",5324,6114,"중형","디젤","15.2","15.2","190","190",2020,2220,"A new era of Volkswagen Design   스포츠카의 강렬함과 세단의 편안함이 공존하는 실내   차, 그 이상의 아름다움 The new Arteon ",2221,"Urano Gray ","Chilli Red ","Curcuma Yellow ","Pure White ","Pyrite Silver Metallic ","Deep Black Pearl Effect ","Atlantic Blue Metallic ",NULL,NULL,NULL,"#282c35","#ae041e","#dfb211","#e5e9e8","#c4c8c8","#0a0d16","#033770",NULL,NULL,NULL
"일본","혼다","New Pilot",6050,6050,"대형 SUV","가솔린","8.4","8.4","284","284",2022,2228,"삶이 감춰둔 놀라움에 한 발 더 다가갑니다  폭발적인 파워와 민첩함, 정교한 컨트롤의 조화가 끊임없이 변화하는 도로 여건에도한결같은 드라이빙의 쾌감을 선사합니다   실 주행 영역대까지 섬세하게 고려한 출력과 토크는 오프로드를 넘어 도심 주행에서도 변함없는 만족감을 제공합니다   VCM 기능이 탑재된 3 5리터 직접 분사식 엔진과 전자식 버튼 타입 9단 자동변속기의 조화는 284마력의 강력한 파워와 민첩한 퍼포먼스로 어떤 구간에서든 다이내믹한 드라이빙을 즐길 수 있습니다",2229,"White ","Modern Steel Metallic ","Silver ","Crystal Black Pearl ","Steel Sapphire Metallic ",NULL,NULL,NULL,NULL,NULL,"#faf9f7","#b0afb4","#cccacd","#403d43","#39536d",NULL,NULL,NULL,NULL,NULL
"유럽","푸조","New 508",4590,5390,"중형","디젤","17.2","17.2","130","130",2023,2255,"세련된 패스트백 스타일,  곳곳에서 느껴지는 고품격 퀄리티와 새로운 차원의 드라이빙을 즐겨보세요   강렬한 개성이 돋보이는 NEW PEUGEOT 508이 찾아옵니다 ",2256,"Twilight Blue ","Celebos Blue ","Nimbus Grey ","Hurricane Grey ","Amazonite Grey ","Cumulus Grey ","Nimbus Grey ","Nera Black ","Pearlescent White ","Pearl White ","#27323e","#1d4869","#9b9fa1","#2f3741","#3c3c39","#939496","#545351","#120e13","#e5e5e2","#e5e5e5"
"유럽","람보르기니","Urus",25513,25513,"대형 SUV","가솔린","6.3","6.3","666","666",2023,2257,"브랜드의 디자인 정체성이라고 할수 있는 직선을 많이 사용한 외관 디자인이 돋보입니다  코르사 모드로 드라이브 모드를 변경하면 계기판이 변화되어 슈퍼카의 DNA를 표현하고자 한 시리즈의 정체성을 그대로 유지하고 있습니다 ",2258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","시트로엥","Grand C4 Spacetourer",4280,4640,"RV/MPV","디젤","14.5","14.5","131","131",2021,2314,"스페이스와 투어러란 이름처럼 넓은공간으로   끊임없는 여행을 떠날 수 있을 것만 같은 차다 ",2315,"Ruby Red ","Forest Blue ","Soft Sand ","Platinium Grey ","Cumulus Grey ","Polar White ","Onyx Black ",NULL,NULL,NULL,"#5b1819","#15162b","#979590","#6f6d6e","#82858b","#ececea","#252626",NULL,NULL,NULL
"한국","KG모빌리티","리스펙 코란도",2445,3060,"중형 SUV","가솔린","10.5","14.3","136","170",2022,2360,"머리부터 발끝까지 눈부시게 ALL NEW  VIEW tiful KORANDO   Low & Wide Stance 역동성과 균형감 갖춘 외관디자인   새로운 1 6ℓ 디젤 엔진, 동급 최초로 첨단차량제어기술과 7에어백을 적용",2361,"그랜드 화이트(WAA) ","사일런트 실버(SAI) ","아이언 메탈(ADE) ","플래티넘 그레이(ADA) ","라떼 그레이지(EBL) ","오렌지 팝(RAT) ","체리 레드(RAV) ","댄디 블루(BAS) ","스페이스 블랙(LAK) ","댄디 블루 (블랙 투톤 루프)(2BS) ","#F2EFE8","#C1BDB7","#727685","#565656","#b7b295","#ac3b23","#4d1f21","#0D2243","#24201F","#111111"
"유럽","볼보","The New V60 Cross Country",5530,6260,"중형","가솔린, 하이브리드","10.4","10.4","250","250",2024,2388,"THE NEW VOLVO CROSS COUNTRY  다양한 기능과 직관적 기술, 몰입감 넘치는 주행 역학   고급스럽고 편안하게 안내하며 궁극의 라이프스타일을 실현해 줍니다 ",2389,"Onyx Black(717) ","Platinum Grey(731) ","Thunder Grey(728) ","Crystal White Pearl(707) ","Silver Dawn(735) ","Denim Blue(723) ","Fusion Red(725) ",NULL,NULL,NULL,"#18171a","#4c4743","#91999d","#efefef","#a9a9ab","#5d6673","#862430",NULL,NULL,NULL
"유럽","BMW","All New Z4",6440,9110,"스포츠카","가솔린","10.2","10.7","197","197",2022,2444,"THE ALL NEW Z4 ROADSTER  500Nm의 토크를 뿜어내는 파워풀한 M 트윈파워 터보 엔진  드라이빙의 즐거움을 느껴라!",2445,"Mediterranean Blue(C10) ","Misano Blue Metallic(C1D) ","San Francisco Red(C34) ","Black Sapphire metallic(475) ","Alpine White(300) ","Frozen Grey Metallic(B68) ","Glacier Silver(A83) ",NULL,NULL,NULL,"#013263","#006dad","#9e2624","#030406","#d7d8d2","#898989","#adb0b5",NULL,NULL,NULL
"유럽","포르쉐","The New Cayenne",11720,24680,"중형 SUV","가솔린, 전기, 하이브리드","7.8","7.8","347","347",2023,2470,"5시트의 여유로움과 함께 강렬한 외관과 인상적인 퍼포먼스를 자랑합니다   Cayenne을 타고 친구들과 잊지 못할 여행을 떠나거나, Cayenne Coupe의 상징적인 바디라인의 매력에 빠져도 좋습니다 ",2471,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
